,FFG,Habit,Respiration,Shape,Max_Size,Generations_per_year
Species1,3,2,1,2,2,2
Species2,5,3,1,2,2,2
Species3,1,1,1,1,1,3
Species4,1,1,1,1,1,3
Species5,1,1,1,1,1,3
Species6,1,1,1,1,1,3
Species7,1,1,1,1,1,3
Species8,1,2,2,2,1,2
Species9,4,3,1,2,1,2
Species10,5,3,1,2,1,2
Species11,4,6,2,2,1,2
Species12,1,6,2,2,1,3
Species13,1,6,2,2,1,3
Species14,1,6,2,2,1,2
Species15,1,2,2,2,1,2
