,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15
2000,3.714,3.429,7.143,7.143,0,7.143,7.143,6,7.143,2,11.143,7.714,0,5.714,0
2001,8.1,8.1,9,0,116.7,0,0,0,0,0,11.7,0,1.5,0,96.9
